Majority protein IDs	Protein names	Gene names	L3_4 old L OAF	L3_4 old A OAF	L3_4 old P OAF	L3_4 old R OAF	L3_4 old L IAF	L3_4 old R IAF	L3_4 old L IAF_NP	L3_4 old A IAF_NP	L3_4 old P IAF_NP	L3_4 old R IAF_NP	L3_4 old NP	L3_4 Young L OAF	L3_4 young A OAF	L3_4 young P OAF	L3_4 young R OAF	L3_4 young L IAF	L3_4 young R IAF	L3_4 young L IAF_NP	L3_4 young A IAF_NP	L3_4 young P IAF_NP	L3_4 young R IAF_NP	L3_4 young NP	L4_5 old L OAF	L4_5 old A OAF	L4_5 old P OAF	L4_5 old R OAF	L4_5 old L IAF	L4_5 old R IAF	L4_5 old L IAF_NP	L4_5 old A IAF_NP	L4_5 old P IAF_NP	L4_5 old R IAF_NP	L4_5 old NP	L4_5 young L OAF	L4_5 young A OAF	L4_5 young P OAF	L4_5 young R OAF	L4_5 young L IAF	L4_5 young R IAF	L4_5 young L IAF_NP	L4_5 young A IAF_NP	L4_5 young P IAF_NP	L4_5 young R IAF_NP	L4_5 young NP	L5_S1 old L OAF	L5_S1 old A OAF	L5_S1 old P OAF	L5_S1 old R OAF	L5_S1 old L IAF	L5_S1 old R IAF	L5_S1 old L IAF_NP	L5_S1 old A IAF_NP	L5_S1 old P IAF_NP	L5_S1 old R IAF_NP	L5_S1 old NP	L5_S1 young L OAF	L5_S1 young A OAF	L5_S1 young P OAF	L5_S1 young R OAF	L5_S1 young L IAF	L5_S1 young R IAF	L5_S1 young L IAF_NP	L5_S1 young A IAF_NP	L5_S1 young P IAF_NP	L5_S1 young R IAF_NP	L5_S1 young NP
P63167	Dynein light chain 1, cytoplasmic	DYNLL1	NaN	25.4865	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q96FJ2	Dynein light chain 2, cytoplasmic	DYNLL2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.2276	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9NP97;Q8TF09	Dynein light chain roadblock-type 1;Dynein light chain roadblock-type 2	DYNLRB1;DYNLRB2	26.217	26.1187	NaN	26.045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.1095	NaN	NaN	25.0192	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.5802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.3212	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P63172	Dynein light chain Tctex-type 1	DYNLT1	NaN	NaN	24.244	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P51808	Dynein light chain Tctex-type 3	DYNLT3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.0758	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O75923	Dysferlin	DYSF	25.74	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q13011	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	ECH1	25.807	24.8716	NaN	25.5283	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.2638	NaN	NaN	NaN	NaN	26.3394	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.5582	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.726	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9NTX5	Ethylmalonyl-CoA decarboxylase	ECHDC1	24.4678	23.7706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P30084	Enoyl-CoA hydratase, mitochondrial	ECHS1	26.843	26.2395	NaN	27.732	NaN	NaN	24.7023	NaN	NaN	NaN	24.6277	24.6679	NaN	NaN	NaN	25.588	NaN	NaN	NaN	NaN	NaN	25.1566	25.3201	NaN	NaN	NaN	26.8636	NaN	NaN	25.044	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.4564	NaN	24.1345	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P42126	Enoyl-CoA delta isomerase 1, mitochondrial	ECI1	24.1676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.3351	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O75521	Enoyl-CoA delta isomerase 2, mitochondrial	ECI2	23.9203	NaN	NaN	24.2871	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q16610	Extracellular matrix protein 1	ECM1	29.0681	30.3269	30.6643	28.8742	30.9318	30.7589	30.9484	31.2219	30.901	30.8495	31.3059	29.909	25.9961	24.4851	26.4099	27.927	27.2788	28.292	25.931	27.8847	28.0627	27.6684	29.2725	29.7074	29.5974	27.8772	30.412	30.0911	30.96	30.7462	30.7622	30.2584	31.4255	23.807	NaN	NaN	26.8566	26.7645	NaN	NaN	27.0112	27.7152	24.4174	26.9816	28.1623	29.007	30.2369	29.2386	28.6317	29.6425	30.3973	30.5033	30.7498	30.3148	30.03	25.9082	25.7752	27.2334	25.9577	NaN	28.4492	28.3607	27.3173	28.3843	28.6947	27.0977
O94769	Extracellular matrix protein 2	ECM2	26.0771	26.1262	26.6213	24.8569	26.9951	26.8977	26.7344	26.1054	26.3768	27.6855	26.6621	26.8332	28.4096	28.7731	27.1358	28.5765	28.2991	27.5748	29.1058	27.5088	28.047	27.8829	27.4737	28.2891	26.1423	28.6557	28.5294	28.7497	27.4494	27.2273	26.3349	27.765	27.1128	26.9683	29.6081	27.5462	28.5599	29.1129	30.2795	29.5228	29.3917	28.716	29.3052	28.8042	28.5563	29.1018	27.7544	26.6724	27.5481	27.4891	27.2158	27.8887	27.2829	26.908	27.6131	28.3826	28.2199	28.2225	29.1658	28.674	29.045	29.4054	29.1405	29.0772	28.8427	28.8762
O60869	Endothelial differentiation-related factor 1	EDF1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.3332	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O43854	EGF-like repeat and discoidin I-like domain-containing protein 3	EDIL3	27.585	27.3564	29.7199	27.0518	29.6105	30.3663	30.1452	30.452	29.6762	30.3943	29.9555	29.9244	30.1072	30.9604	29.6291	31.4373	31.6064	31.991	32.1426	32.0351	31.9454	32.3309	30.2103	31.3368	29.6665	30.9536	30.8203	30.8882	30.3419	30.9549	30.2188	31.0272	30.5243	29.4875	30.4234	30.95	29.7668	30.8894	31.6689	31.497	31.9353	31.6268	31.069	31.4391	31.7403	31.8887	31.1086	29.4492	31.1248	31.1222	31.3051	32.1796	31.6178	31.4182	32.1615	29.2606	30.0576	30.6073	30.8382	31.896	31.7975	31.6959	31.99	32.3279	32.45	32.1187
Q15075	Early endosome antigen 1	EEA1	29.8812	29.8429	26.3853	28.5718	NaN	26.1327	27.0999	27.1802	26.5972	26.5344	NaN	NaN	NaN	NaN	NaN	26.3768	NaN	28.4214	29.398	NaN	27.5093	NaN	27.1584	25.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.7956	25.9656	26.031	31.5676	31.4585	NaN	NaN	NaN	30.5849	30.3169	NaN	28.973	NaN	NaN	NaN	29.0317	NaN	27.7588	27.8297	26.552	NaN	NaN	27.152	25.038	25.2052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P68104;Q5VTE0	Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3	EEF1A1;EEF1A1P5	30.773	30.9177	29.8662	30.5469	29.1091	28.8888	27.219	28.5243	27.3336	27.6493	27.1142	28.7688	30.053	30.5306	30.7309	29.7847	29.5071	29.9622	29.9814	30.2413	30.1158	30.3436	30.4579	29.2766	30.2076	29.3783	29.2316	29.1942	27.8491	28.3138	28.7691	27.8842	26.1399	30.1062	30.0052	30.6895	30.7771	29.0266	29.4054	30.0987	28.9094	29.7603	29.7095	29.1301	29.1237	29.837	30.0388	30.5174	28.1819	27.6191	29.0579	28.7539	28.8899	27.5297	28.8765	30.4515	30.2246	30.7975	30.3984	28.5437	27.8687	29.4386	29.3582	29.6519	28.7046	29.572
Q05639	Elongation factor 1-alpha 2	EEF1A2	28.9593	NaN	NaN	27.2921	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.9097	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.9665	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P24534	Elongation factor 1-beta	EEF1B2	27.5899	28.2708	25.4726	28.8746	NaN	NaN	26.0573	25.3323	NaN	NaN	NaN	26.0203	25.8183	26.3042	26.1796	NaN	NaN	NaN	NaN	NaN	NaN	25.2163	26.6893	NaN	NaN	26.9835	NaN	NaN	NaN	NaN	25.0114	NaN	NaN	26.4718	26.3963	NaN	26.031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.1034	26.0508	25.9255	27.9648	NaN	NaN	27.4866	25.8068	NaN	NaN	25.7328	26.9846	26.4246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.2344
P29692	Elongation factor 1-delta	EEF1D	29.6133	29.9919	26.9696	30.9421	26.721	26.2779	NaN	NaN	NaN	NaN	NaN	26.493	27.4742	28.6597	29.0732	NaN	NaN	26.8411	NaN	NaN	27.1836	NaN	28.9859	27.3055	NaN	27.8054	26.0212	NaN	NaN	NaN	26.9407	NaN	NaN	28.3873	NaN	28.4303	30.9894	NaN	27.7682	NaN	NaN	NaN	28.7609	28.2839	26.9082	27.6045	26.7403	28.8568	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.2537	27.7845	27.9313	28.1705	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O43324	Eukaryotic translation elongation factor 1 epsilon-1	EEF1E1	NaN	21.6664	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P26641	Elongation factor 1-gamma	EEF1G	27.5943	29.0921	26.1123	27.2525	25.6382	26.0915	NaN	25.4342	NaN	NaN	NaN	27.1435	26.7953	28.5854	27.0929	26.9556	NaN	27.7281	NaN	NaN	27.0141	26.1117	27.5684	25.9505	27.1172	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.615	26.4859	29.59	29.0802	NaN	NaN	NaN	NaN	28.0799	27.7921	NaN	26.9316	26.5999	27.195	27.2905	NaN	NaN	27.8402	NaN	27.9682	NaN	NaN	26.5471	27.0291	28.0381	27.3476	NaN	NaN	NaN	26.9718	NaN	NaN	NaN
P13639	Elongation factor 2	EEF2	29.2804	30.2073	27.5886	28.9413	25.4452	26.3753	25.0763	25.5657	26.9919	25.5843	23.3898	26.7772	26.8657	27.7887	27.2286	27.5763	26.5906	27.2749	26.1009	26.1486	26.7246	27.0554	28.5539	26.9931	28.1073	26.486	26.0947	26.5241	24.902	24.9925	26.8088	NaN	25.6122	27.541	27.3969	NaN	26.8848	26.6855	26.9366	NaN	25.2294	25.9464	26.9226	NaN	26.933	27.2453	27.6699	28.7187	NaN	23.2932	25.7632	26.2645	NaN	NaN	26.7974	28.3533	27.7943	27.5558	28.1089	26.0785	26.5721	26.699	24.3718	NaN	NaN	NaN
Q12805	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1	29.6985	30.5466	31.2804	29.2807	30.3658	30.1368	30.1021	31.0394	30.3178	29.8885	30.8447	27.5474	26.5935	26.4686	26.5253	30.2037	29.0254	30.2817	29.0469	29.6132	30.0305	30.4689	28.8431	28.817	29.9073	28.9996	27.8774	26.8435	30.6071	29.9293	31.0833	29.0918	31.3312	27.2792	27.9363	NaN	27.0476	27.666	25.3661	28.4743	28.5891	28.5278	28.8449	28.738	27.0824	29.2039	30.4122	29.2524	27.9811	26.8357	28.4634	27.6028	30.4143	27.5925	28.7898	27.0453	28.9488	29.1313	27.6251	25.9164	28.2873	28.6168	29.2233	30.2321	29.4352	28.8331
O95967	EGF-containing fibulin-like extracellular matrix protein 2	EFEMP2	26.6769	27.3586	28.6728	25.9515	27.5366	27.6873	27.353	28.7489	28.7215	27.7509	28.0807	27.9774	28.7178	28.2059	27.1779	29.0401	28.312	28.6318	28.9074	28.3013	28.9526	29.4591	27.5661	28.3174	29.1458	29.3431	28.9751	28.9646	27.5063	28.1675	26.6676	28.2038	27.9421	27.8471	28.7814	27.8727	28.3288	29.0345	28.5131	28.3627	28.7519	25.9476	29.2536	27.8159	29.5292	29.9924	28.9752	28.363	29.154	29.3446	29.3291	28.784	28.8699	29.2687	29.134	28.2509	28.5431	28.4957	29.0048	29.1429	29.3831	29.0903	29.5327	29.4849	29.7283	28.8482
Q96C19	EF-hand domain-containing protein D2	EFHD2	24.7786	24.3767	NaN	25.2554	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.7573	NaN	NaN	NaN	NaN	NaN	NaN	24.146	23.9852	NaN	NaN	25.4236	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.0221	NaN	NaN	NaN	25.1289	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q15029	116 kDa U5 small nuclear ribonucleoprotein component	EFTUD2	24.0885	23.8684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P00533	Epidermal growth factor receptor	EGFR	22.8775	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8N3D4	EH domain-binding protein 1-like protein 1	EHBP1L1	22.7112	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9H4M9	EH domain-containing protein 1	EHD1	25.4152	26.5362	NaN	26.1377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.6597	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.1355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.0802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.1856	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9NZN4	EH domain-containing protein 2	EHD2	30.0137	30.1496	26.4709	30.0552	28.7864	26.119	25.4583	27.4336	26.4541	24.9288	24.3884	27.5063	30.1226	29.5294	30.1852	29.5148	28.6391	29.5719	28.3964	29.2006	29.3911	29.5519	29.1664	27.6461	27.865	25.5476	26.0429	25.1734	NaN	NaN	24.8923	NaN	22.9481	30.6139	29.5271	28.7563	30.0744	28.6294	28.452	27.8498	27.5243	26.7745	28.4619	28.6079	27.3801	28.5847	27.418	30.0897	25.4802	24.0061	NaN	24.4319	28.5018	NaN	25.2797	30.5484	29.9756	29.5632	28.994	27.706	27.1259	26.7157	28.3909	27.5297	27.0266	28.2957
Q9NZN3	EH domain-containing protein 3	EHD3	23.1985	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.3147	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9H223	EH domain-containing protein 4	EHD4	27.3608	27.3094	24.9372	27.1499	NaN	NaN	NaN	NaN	26.3519	NaN	NaN	NaN	26.3926	26.2645	NaN	26.552	25.9559	27.1607	NaN	27.888	26.2629	27.8604	25.4941	26.4735	26.9513	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.3019	NaN	29.5548	29.3462	27.0293	NaN	26.8802	NaN	28.1177	27.7148	27.5058	NaN	NaN	26.6558	26.3336	26.7715	NaN	28.313	28.5811	28.9541	28.653	NaN	26.4919	27.3086	27.2771	26.3681	27.9559	NaN	NaN	27.4671	28.6241	29.0654	26.9208
P41567;O60739	Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b	EIF1;EIF1B	NaN	25.1782	NaN	25.0672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.2197	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.9554	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q14232	Translation initiation factor eIF-2B subunit alpha	EIF2B1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.7699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P05198	Eukaryotic translation initiation factor 2 subunit 1	EIF2S1	27.3119	27.9145	NaN	28.2942	23.4015	23.9796	NaN	NaN	NaN	23.2992	NaN	23.4613	24.3907	25.732	23.9583	23.2519	NaN	NaN	NaN	NaN	NaN	24.103	24.9922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.2012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.5739	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.9465	24.4053	25.4177	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P20042	Eukaryotic translation initiation factor 2 subunit 2	EIF2S2	25.4538	26.1227	NaN	25.9869	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.9488	25.192	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.502	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.7565	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.8526	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P41091	Eukaryotic translation initiation factor 2 subunit 3	EIF2S3	25.0867	26.2373	NaN	25.8927	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.6011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q14152	Eukaryotic translation initiation factor 3 subunit A	EIF3A	24.1234	25.1874	NaN	23.0132	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.3647	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P55884	Eukaryotic translation initiation factor 3 subunit B	EIF3B	26.0569	26.5223	NaN	25.5382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.733	24.9232	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.0835	NaN	NaN	24.5183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.3215	25.3133	25.0706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q99613;B5ME19	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	23.2663	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.969	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O15371	Eukaryotic translation initiation factor 3 subunit D	EIF3D	NaN	25.0026	NaN	25.7768	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.8643	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
